     model  actual           %
0    38971  344848   88.699079
1     1436     249  476.706827
2     4667    6621   29.512158
3     3563    2684   32.749627
4     1340    8439   84.121341
5     4645   17399   73.303063
6     3058   33068   90.752389
7    12891   82819   84.434731
8   145368  206332   29.546556
9     2507    4073   38.448318
10   29267   28292    3.446204
11  179697  264225   31.990917
12   12362    8883   39.164697
13    7722    6449   19.739494
14   10874   14470   24.851417
15    4759     986  382.657201
16    4752    2477   91.844974
17   15896   10598   49.990564
18   13875   96641   85.642740
19  304756  102150  198.341654
     model  actual          %
0    38971  344848  88.699079
3     3563    2684  32.749627
4     1340    8439  84.121341
5     4645   17399  73.303063
7    12891   82819  84.434731
9     2507    4073  38.448318
11  179697  264225  31.990917
12   12362    8883  39.164697
17   15896   10598  49.990564
18   13875   96641  85.642740
Error: 60.854507790071764 +/- 24.394027717619746
